Date,CG,T_a,v,P_PV_TE,N_PV_TE
,W/m2,K,m/s,(W),(%)
1/1/2019,9298.62375,265.56,7.66,1.546201765,10.66943961
1/2/2019,9183.25625,267.41,7.2,1.537077149,10.67859935
1/3/2019,9306.95625,268.08,4.09,1.638804246,10.7810883
1/4/2019,9171.41875,263.97,1.68,1.682144583,10.84642436
1/5/2019,9091.08625,261.75,1.97,1.650419243,10.82528878
1/6/2019,9708.8825,258.81,2.38,1.767097162,10.85791519
1/7/2019,10297.9,258.22,4.45,1.81781141,10.82756521
1/8/2019,10176.605,259.42,5.71,1.754975448,10.77740282
1/9/2019,10505.44625,256.1,3.84,1.8804272,10.862439
1/10/2019,10044.16375,260.06,2.48,1.83987079,10.884258
1/11/2019,10680.16,258.75,4,1.917735678,10.87569786
1/12/2019,11069.38625,260.44,5.79,1.940906393,10.84573546
1/13/2019,11205.885,265.13,4.57,2.024992886,10.90972061
1/14/2019,11514.81375,267.47,7.63,1.994841938,10.83854229
1/15/2019,11669.83125,268.06,6.45,2.065613214,10.88828749
1/16/2019,12044.05125,261.58,3.92,2.231750569,10.99214353
1/17/2019,12232.365,266.05,8.54,2.111590245,10.85776435
1/18/2019,12496.975,271.58,7.89,2.203756362,10.91265794
1/19/2019,13447.58625,263.87,5.62,2.476553942,11.03764584
1/20/2019,13690.84625,265.6,8.63,2.411314385,10.95442405
1/21/2019,14457.15125,261.35,4.75,2.748213426,11.14061336
1/22/2019,14721.76375,256.15,4.2,2.830380912,11.17345264
1/23/2019,15465.5075,254.14,3.79,3.034913588,11.24355737
1/24/2019,14893.50875,253.42,1.05,3.114109435,11.33747407
1/25/2019,15741.46625,255.09,1.29,3.322894676,11.39231841
1/26/2019,14621.91,259.3,7.38,2.642487055,11.04387519
1/27/2019,15928.215,261.95,4.08,3.151254458,11.27820918
1/28/2019,16035.14,260.88,2.99,3.26032709,11.33518465
1/29/2019,15831.91875,265.07,5.19,3.06133572,11.22924174
1/30/2019,16434.97125,268.42,4.43,3.272588126,11.31133339
1/31/2019,15780.00125,271.36,5.69,3.039194429,11.21925126
2/1/2019,16122.495,266.77,2.68,3.324739166,11.36555047
2/2/2019,17398.2775,265.71,2.29,3.698859161,11.47677661
2/3/2019,17937.00125,269.71,4.02,3.693872812,11.43770824
2/4/2019,16842.59,273.16,5.03,3.34750919,11.32397252
2/5/2019,21330.0525,266.75,2.72,4.751409607,11.7261471
2/6/2019,20121.9575,265.26,1.77,4.523273181,11.69540561
2/7/2019,21711.4725,264.21,3.29,4.778758746,11.71748043
2/8/2019,20460.48625,267.6,5.32,4.227825842,11.54251884
2/9/2019,21128.475,268.52,5.77,4.363469336,11.56632802
2/10/2019,22749.42875,265.73,5.78,4.778794464,11.66123962
2/11/2019,22481.46375,268.76,6.05,4.692870948,11.63831382
2/12/2019,23405.39875,271.24,6.62,4.889459241,11.6729852
2/13/2019,24648.765,267.2,2.62,5.729792734,11.93579147
2/14/2019,26604.88625,264.13,4.66,5.973952747,11.93612103
2/15/2019,25593.315,271.62,8.6,5.256548246,11.71084905
2/16/2019,26154.5375,272.08,6.02,5.699676479,11.85813355
2/17/2019,27905.49,271.7,9.56,5.748865648,11.79254053
2/18/2019,30332.29375,265.34,7.22,6.643060329,12.00568779
2/19/2019,27898.1475,265.97,7.52,5.949310937,11.86967058
2/20/2019,27783.23375,271.74,7.87,5.908725206,11.85994489
2/21/2019,30828.0575,268.04,8.5,6.617162243,11.97676876
2/22/2019,32511.30125,262.56,9.59,6.880865297,11.99539021
2/23/2019,33804.58125,262.57,3.83,8.210511207,12.32920462
2/24/2019,32632.0775,269.11,4.75,7.715593074,12.23910402
2/25/2019,33171.7525,272.55,6.64,7.558645407,12.17832343
2/26/2019,34900.11875,272.25,6.45,8.078189094,12.26311035
2/27/2019,36218.99375,267.24,2.77,9.211745504,12.4941117
2/28/2019,36218.92375,271.56,3.6,9.038738483,12.45712272
3/1/2019,35875.1525,269.9,4.4,8.755327566,12.40275251
3/2/2019,39560.69375,260.86,3.54,10.01752793,12.57901865
3/3/2019,38349.61,264.55,6.05,9.09015401,12.40998439
3/4/2019,38586.075,268.63,2.78,9.943759466,12.58635362
3/5/2019,37126.65125,273.22,6.53,8.699816217,12.35249091
3/6/2019,43492.46875,264.76,6.62,10.46378193,12.57811884
3/7/2019,42651.315,263.9,6.23,10.3048619,12.5657426
3/8/2019,39233.12375,271.59,7.82,9.041550066,12.37473063
3/9/2019,42508.5025,272.9,6.88,10.17607933,12.54307401
3/10/2019,42389.9875,272.23,5.24,10.5064951,12.61081156
3/11/2019,44728.4175,272.42,3.01,11.8015078,12.78995378
3/12/2019,46498.7975,268.22,4.22,11.98022738,12.7871787
3/13/2019,44673.92,265.84,2.94,11.77641767,12.78690504
3/14/2019,46411.66125,267.38,5.15,11.69223247,12.74131016
3/15/2019,42187.43875,271.1,6.21,10.21865815,12.55916794
3/16/2019,48039.83125,270.18,4.95,12.25323781,12.80359156
3/17/2019,47354.65125,271.11,4.17,12.27205224,12.81844138
3/18/2019,50688.675,272.04,6.4,12.65493466,12.82090811
3/19/2019,48844.86125,272.98,5.04,12.48718347,12.82639024
3/20/2019,53035.95,271.66,4.11,14.02018442,12.97793361
3/21/2019,53900.50625,270.42,3.22,14.56360842,13.0331455
3/22/2019,53152.4725,271.41,3.99,14.09161233,12.98537814
3/23/2019,54688.2875,271.34,2.88,14.92554851,13.06544196
3/24/2019,53943.38375,271.41,3.81,14.38769072,13.01156447
3/25/2019,57873.8275,271.42,4.06,15.49455223,13.09205859
3/26/2019,56317.8225,271.31,3.34,15.26791992,13.08484306
3/27/2019,58780.84125,269.17,3.84,15.83486782,13.11875081
3/28/2019,60079.69375,270.32,4.36,16.05103865,13.12745099
3/29/2019,56826.09875,272.57,2.73,15.64684279,13.12015709
3/30/2019,59200.7025,274.1,4.77,15.66805805,13.0960228
3/31/2019,57612.82375,275.41,5.77,14.8854061,13.02490037
4/1/2019,64925.28625,273.13,4.74,17.37536426,13.20896103
4/2/2019,63421.545,272.89,2.72,17.67497734,13.24820491
4/3/2019,62032.7875,273.95,3.46,16.98043795,13.19940556
4/4/2019,67858.15375,274.4,3.74,18.61797637,13.28874864
