Date,CG,T_a,v,P_PV_TE,N_PV_TE
1/1/2019,W/m2,K,(m/s),W,%
1/2/2019,53647.50375,287.9,3.6,1.546201765,10.66943961
1/3/2019,55880.39,291.61,5.38,1.537077149,10.67859935
1/4/2019,53740.765,292.51,2.36,1.638804246,10.7810883
1/5/2019,56696.80125,286.98,3.61,1.682144583,10.84642436
1/6/2019,56502.31875,287.92,2.73,1.650419243,10.82528878
1/7/2019,57451.6475,290.33,4.95,1.767097162,10.85791519
1/8/2019,50168.28625,291.78,1.8,1.81781141,10.82756521
1/9/2019,54939.185,289.16,4.15,1.754975448,10.77740282
1/10/2019,54884.7475,289.72,2.42,1.8804272,10.862439
1/11/2019,54997.72375,285.02,3.97,1.83987079,10.884258
1/12/2019,56775.69625,284.9,2.25,1.917735678,10.87569786
1/13/2019,55270.80125,286.81,3.05,1.940906393,10.84573546
1/14/2019,61491.05875,289.04,5.62,2.024992886,10.90972061
1/15/2019,55601.58125,290.66,4.77,1.994841938,10.83854229
1/16/2019,58010.4125,291.27,1.54,2.065613214,10.88828749
1/17/2019,58607.19625,293.18,5.24,2.231750569,10.99214353
1/18/2019,55980.96875,288.16,5.71,2.111590245,10.85776435
1/19/2019,58162.38375,283.2,2.69,2.203756362,10.91265794
1/20/2019,50283.9025,282.81,2.24,2.476553942,11.03764584
1/21/2019,52503.96125,283.02,1.84,2.411314385,10.95442405
1/22/2019,49145.9625,285.34,2.92,2.748213426,11.14061336
1/23/2019,55645.5075,288.68,3.19,2.830380912,11.17345264
1/24/2019,52771.96625,290.54,4.9,3.034913588,11.24355737
1/25/2019,58523.755,291.33,4.48,3.114109435,11.33747407
1/26/2019,57200.13375,292.81,4.32,3.322894676,11.39231841
1/27/2019,59518.6825,293.78,3.96,2.642487055,11.04387519
1/28/2019,64156.195,292.7,6.16,3.151254458,11.27820918
1/29/2019,56321.49,293.19,6.95,3.26032709,11.33518465
1/30/2019,53721.60625,291.97,3.1,3.06133572,11.22924174
1/31/2019,56799.75625,289.2,1.9,3.272588126,11.31133339
2/1/2019,61112.45125,293.6,3.5,3.039194429,11.21925126
2/2/2019,60031.60375,295.29,3.17,3.324739166,11.36555047
2/3/2019,62225.07875,294.98,1.69,3.698859161,11.47677661
2/4/2019,63761.10875,288.61,5.08,3.693872812,11.43770824
2/5/2019,67987.18875,286.13,3.49,3.34750919,11.32397252
2/6/2019,69647.44875,285.99,2.38,4.751409607,11.7261471
2/7/2019,71421.08125,284.9,2.93,4.523273181,11.69540561
2/8/2019,74662.57875,286.19,4.49,4.778758746,11.71748043
2/9/2019,67130.38375,289.13,4.79,4.227825842,11.54251884
2/10/2019,66181.47625,291.29,4.78,4.363469336,11.56632802
2/11/2019,65158.52625,293,3.47,4.778794464,11.66123962
2/12/2019,66196.55125,288.92,4.91,4.692870948,11.63831382
2/13/2019,75630.85375,284.84,4.13,4.889459241,11.6729852
2/14/2019,74167.47375,285.6,1.99,5.729792734,11.93579147
2/15/2019,66844.3725,289.89,5.47,5.973952747,11.93612103
2/16/2019,61963.2625,293.98,5.82,5.256548246,11.71084905
2/17/2019,69686.92625,291.34,4.93,5.699676479,11.85813355
2/18/2019,73898.4075,286.7,3.94,5.748865648,11.79254053
2/19/2019,71673.84625,287.29,3.5,6.643060329,12.00568779
2/20/2019,70289.22125,284.69,5.31,5.949310937,11.86967058
